Student_ID,Student_Name,Student_Department,Student_Year,Student_Contact_Info,Transaction_ID,Transaction_DateTime,Menu_Item_ID,Quantity_Purchased,Total_Cost,Payment_Method,Menu_Item_Name,Menu_Item_Category,Menu_Item_Price,Inventory_ID,Stock_Quantity,Reorder_Level,Purchase_Price,Supplier_Info,Review_ID,Rating,Comments,Staff_ID,Staff_Name,Staff_Position,Staff_Contact_Info,Canteen_Location_ID,Building_Name,Floor_Number,Seating_Capacity
4578,,executive,Freshman,scottgonzalez@example.org,10009,2/23/2020 20:21,15,5,12.12,Cash,couple,Dessert,5.07,9028,9,1,3.17,Marquez-Powell,413,2,,333,Julia Cohen,Chef,pampineda@example.com,3,Pinedatown,3,96
9268,Robert Moon,grow,Freshman,adamstara@example.net,15100,6/13/2021 12:36,62,4,2.26,Cash,international,Main Course,4.65,4605,45,5,2.54,Allison LLC,623,3,"Key property possible book onto dog name strong. Who painting war including able success billion.
Art speech doctor manager share institution. Rest hope doctor require two.",130,Misty Kemp,Waiter,huntkyle@example.net,1,Albertmouth,1,152
3281,Louis Walter,although,Sophomore,ymartinez@example.org,74825,3/31/2022 2:47,94,4,9.78,Cash,top,Dessert,7.18,3098,97,6,2.74,Shaw-Rodriguez,161,1,"Meeting without two claim whatever store vote. Somebody serve machine should defense grow black.
Art bill concern great realize hospital. Watch process sometimes manager issue close.",637,Ashley Owens,Cashier,jessica77@example.net,1,Port Scott,1,181
5617,Denise Lucas,others,Sophomore,zroy@example.net,52722,1/2/2023 11:39,31,5,3.73,Card,dinner,Main Course,7.5,5571,100,7,2.25,Rivas-Shepherd,266,2,"Send president I how claim. Only perhaps agree.
Always close evidence total sell employee item. Against expect own long doctor. Tv easy pull billion down voice help.",238,Casey Banks,Waiter,catherine24@example.org,3,East Justin,1,192
3289,Denise Thompson,any,Freshman,zlang@example.net,50902,2/17/2021 15:26,7,4,6.21,Cash,for,Main Course,3.18,6768,36,1,1.05,"Jones, Hopkins and Erickson",228,2,,938,Richard Davis,Waiter,amy50@example.com,5,South Brandyburgh,2,51
2553,Matthew Raymond,science,Freshman,cherylfields@example.com,71196,9/5/2023 12:48,40,3,11.1,Card,trial,Main Course,9.47,6236,48,1,4.11,Valencia-Thomas,237,1,"Coach radio he pass read be. Box experience leader Mrs sign various part.
Require hair likely investment hit. Accept me down. Forward top career determine material energy kind white.",604,Christopher Brown,Chef,xcarpenter@example.com,4,North Amychester,2,35
5104,Dawn Galvan,now,Freshman,omeyer@example.org,16534,8/6/2023 0:59,23,4,10.44,Cash,player,Beverage,3.18,8124,61,8,4.28,Bartlett-Watson,592,3,"Maybe officer cup issue very. Reduce never continue ten question decision.
Truth book at traditional real open history. Since car article particularly ability teacher pressure.",465,Olivia Olson,Cashier,lharding@example.com,2,East Benjaminhaven,2,59
9725,Gina Stout,director,Freshman,johnstonkevin@example.org,64412,1/20/2021 7:27,67,4,4.53,Cash,a,Beverage,4.53,2757,90,2,2.12,Warren-Ward,822,5,,738,Terry Hernandez,Waiter,jenniferhanson@example.org,3,Barrettstad,1,107
3407,Felicia Young,note,Sophomore,lindsay12@example.net,34641,4/8/2022 8:22,94,2,12.18,Cash,strong,Dessert,3.67,5677,97,6,2.03,Harmon-Williams,757,2,Save career pressure later officer political. Enjoy because around. Could agreement smile less.,853,Michael Yates,Waiter,dalehernandez@example.net,4,South Gary,2,29
6081,Daniel Jones,Mr,Freshman,ebrown@example.com,81901,12/13/2022 23:18,10,5,12.11,Card,whose,Beverage,3.49,9864,89,5,3.11,"Green, Fitzgerald and Martin",833,1,,394,Jack Roach,Cashier,schneiderjustin@example.net,2,West Carlport,1,105
2618,Jade Cunningham,us,Senior,bradley52@example.net,92980,6/7/2022 0:10,39,5,3.44,Cash,push,Main Course,4.79,4296,89,3,2.27,Weaver-Johnson,882,4,"Behind subject charge third whatever camera age. Gas throw provide toward much growth help.
Hundred only better free. Already detail gas during common. Industry maybe page hotel yeah.",833,Kimberly Becker,Cashier,chadjohnson@example.org,2,North Lisaview,2,179
2208,Mr. Michael Smith,high,Freshman,ugomez@example.net,20940,3/5/2022 19:30,52,2,2.78,Cash,get,Dessert,9.87,5860,33,8,2.37,Harris Inc,840,1,"Play buy report remember example chance. Strong international simple finish blue.
Above easy impact face them job appear. Piece standard finally. But that firm strong win little turn.",912,Nicholas Lee,Chef,carolcain@example.org,3,Katiestad,1,61
6409,Maria Martinez,executive,Junior,hillpeter@example.net,27107,6/22/2020 12:29,43,1,11.11,Cash,suggest,Main Course,5.42,8238,38,4,3.82,Arnold-White,147,3,"Although maintain world event more leg money. Bit piece method attention many.
All group team never should. Realize president hundred. Room need others side a factor back.",443,Jack Patel,Waiter,devinklein@example.org,2,North Ashley,3,139
8735,Meghan Gonzales,gun,Freshman,johnstonmichael@example.org,11930,11/19/2022 4:23,39,3,9.99,Card,term,Main Course,5.94,9421,49,9,2.73,"Martin, Thompson and Wallace",847,4,Position Democrat while word change. Approach popular word tree indeed just nation. Probably rise less many risk any must. Hospital really activity budget seek.,800,Emma Shannon,Chef,margarethood@example.net,4,Gilberttown,2,119
2649,Brandon Wu,note,Freshman,silvaamanda@example.org,62666,7/15/2023 8:29,54,3,14.14,Card,expect,Main Course,7.84,8570,90,6,1.57,Chavez-Nixon,943,1,,221,Christina Kelly,Cashier,chelsea02@example.com,3,Port Robinfort,1,193
6796,Kathy Shepard,white,Freshman,rhondarhodes@example.org,98934,3/19/2022 22:47,14,3,10.46,Card,turn,Beverage,8.36,9784,25,3,1.02,Cross Group,632,5,"Rate month responsibility study various lay raise TV. Admit read cell thought read eye.
Media generation to hot others mind physical. Strong compare occur yes miss third decade.",921,Richard Huber,Chef,harrisamanda@example.org,3,Hartmanside,3,68
8113,Charles Woods,fear,Sophomore,cody63@example.net,64720,1/6/2020 17:50,13,1,14.6,Cash,town,Beverage,5.51,5276,44,7,3.05,"Jackson, Davis and Mcgrath",144,2,"Short current technology. Action minute return change alone.
Somebody wide take as where. Leave hundred suffer yet.",975,Benjamin Torres,Cashier,cthompson@example.org,4,Jamesfurt,2,125
6180,Catherine Carter,group,Sophomore,paulhaynes@example.com,51441,7/5/2022 11:51,72,5,11.28,Cash,full,Beverage,3.63,5465,7,6,4.14,"Wolf, Bailey and Ewing",943,3,Herself vote hit certain audience mind. On door bring after cover choose democratic. Different purpose hair huge.,958,Joshua Stanley,Waiter,christopher79@example.com,5,West Natasha,3,147
4350,Jamie Atkinson,development,Freshman,jennifer87@example.com,10444,6/13/2021 13:39,62,2,5.85,Cash,car,Dessert,7.68,4797,50,5,3.81,"Garcia, Mejia and Gutierrez",668,1,"Sense security million real newspaper. Appear product safe operation cut nice short same. Eye majority alone degree action beyond or.
Drive nice student around any would.",518,Xavier Martinez,Chef,deborahshaw@example.org,2,North Tyrone,2,69
8815,James Fuller,short,Senior,daniel62@example.net,37987,2/6/2022 8:56,61,3,13.04,Card,continue,Main Course,9.25,1271,78,8,4.13,"Bauer, Ingram and Olson",807,4,,891,Joel Doyle,Cashier,lauren14@example.com,1,West Suzanne,2,62
8253,Richard Kerr,focus,Sophomore,williamsveronica@example.net,11873,10/9/2021 21:27,44,5,14.46,Cash,follow,Dessert,2.27,2945,74,7,2.54,Aguilar Group,862,1,"Into no road land. Bar address official figure.
Various accept difference land. Hair word white learn sit way step.",983,Sara Norton,Chef,millerjames@example.com,4,Markview,3,120
9541,Marcus Powell,service,Freshman,sean73@example.org,10309,3/9/2022 6:16,44,2,7.04,Cash,magazine,Dessert,7.07,2620,12,1,2.86,George-Mccormick,814,4,"Interest beat sell she stage level. Claim it animal until hospital add middle. Front far relate none message campaign draw.
One cover every them these. Dark rate officer why son against tell.",368,Victoria Scott,Waiter,tonygarcia@example.net,3,East Tina,2,32
5267,Mr. Robert Crane,room,Freshman,fholloway@example.net,98573,8/24/2021 12:37,16,4,5.82,Cash,window,Dessert,8.97,3827,98,5,1.15,Bradshaw-Jackson,746,3,,262,Michele Smith,Waiter,kari45@example.net,5,East Drew,3,106
2020,Shawn Herrera,Republican,Senior,moraderrick@example.net,79251,5/25/2021 17:32,62,5,11.7,Card,best,Main Course,4.91,7793,85,9,4.65,Mcgee Group,496,5,"Trial far camera card best throughout. Resource magazine defense popular one news friend. Goal save stuff support resource.
And product present. Throughout off land job record TV century.",450,Scott Harrison,Cashier,lindsey68@example.net,4,North Brandon,1,194
9989,Jesse Hicks,for,Freshman,petersenjasmine@example.com,90224,9/19/2022 1:35,15,3,14.45,Card,job,Dessert,7.95,5075,24,5,3.55,Edwards Ltd,284,5,Moment know head soon free none. Enjoy spend fight discover push rule program. Tough assume stuff PM final common beyond include. College be cold tax create cup.,743,Jennifer Hawkins,Cashier,burnsjeremy@example.com,2,Nicolemouth,3,153
1230,Elizabeth Owens,oil,Junior,jeffreymills@example.net,22816,9/21/2021 5:01,90,4,14.78,Card,affect,Main Course,7.42,4572,50,9,4.19,Donovan-Ibarra,452,3,Tree that themselves program look measure. Once hospital happen popular new hand. Point soldier show whatever they argue.,613,Peter Russell,Chef,patrick16@example.net,3,Port Shawna,3,68
2528,Cody Ballard,bring,Freshman,hodgesruth@example.org,34963,8/20/2020 7:49,64,1,3.58,Cash,set,Beverage,3.86,5662,7,8,4.04,White-Rodriguez,919,3,Manage reality fast compare difference. Authority become visit image better affect. Language success about someone official safe.,439,Danny Brennan,Waiter,malonewilliam@example.org,3,Lake Daniel,1,103
7534,Anne Hartman,tell,Sophomore,wendybrown@example.net,25584,6/13/2020 19:34,55,1,13.19,Card,person,Dessert,4.38,1105,67,1,4.6,"Larson, Jones and Daugherty",699,5,"Finish old whose despite.
Case very budget store. If maybe score above environment goal history.
Economy star financial. Century start first worker pattern.",645,Anthony Martin,Cashier,wcordova@example.net,4,West Bryan,2,66
1018,Jasmine Perry,yet,Freshman,lisa99@example.com,89738,12/9/2022 12:51,5,5,14.95,Card,receive,Dessert,2.69,9774,85,9,2.45,Walker Ltd,932,4,"None history church billion. Able administration sell maintain.
Support face fast control. Mother child weight image. Form against eye term.",811,Cameron Cook,Chef,ramirezcourtney@example.net,3,Port Tracey,1,152
9086,Joshua Young,fill,Junior,tammy20@example.net,95100,2/23/2022 7:15,39,1,2.5,Card,various,Beverage,8.95,9442,12,10,4.93,Deleon-Maynard,184,4,"Anything institution office project. Fast black important affect your or lot fly. Then use thought must.
Truth model statement will particularly certainly. Blue former dog consumer be price coach.",248,Nina Shea,Cashier,pmcmahon@example.org,3,Michaelberg,3,158
6458,Mrs. Monica Schmidt,now,Junior,lisarobinson@example.com,36019,10/4/2022 15:46,43,1,7.1,Cash,manager,Dessert,8.01,8016,8,9,1.63,Little-Adams,182,2,"Federal effect hundred nature big appear. Protect response way task.
Point play assume develop buy. Threat ground owner. Compare science year play worker speech toward.",485,Jessica Cherry,Waiter,ngonzales@example.com,4,Mooreport,1,172
4996,Steven Zimmerman,candidate,Senior,pkerr@example.com,49638,12/22/2021 11:50,95,2,6.83,Cash,not,Beverage,8.17,1815,35,5,1.78,Henderson-Walker,673,1,"Act doctor why bring between professor form decade. Do with remember specific base notice. Fight world many than weight wife.
Administration final peace explain training free.",857,Benjamin Ramirez,Chef,idean@example.net,3,Williamshire,2,169
6328,Alan Aguirre,control,Sophomore,christopherjohnson@example.com,46697,9/17/2020 17:18,88,2,4.48,Card,base,Beverage,9.06,2995,10,1,2.42,Santiago-Mcdonald,278,4,Sort hour left know. Black benefit with recently poor. Company test reflect future drive face century. Represent who let program.,861,Kenneth Hawkins,Cashier,caroltucker@example.com,1,East Sabrinahaven,1,131
2031,Thomas Coffey,suffer,Freshman,milleramanda@example.net,33884,3/17/2020 12:52,20,1,6.64,Card,sit,Beverage,5.29,7302,6,8,3.8,Thomas and Sons,932,3,Forget couple three feeling few investment need evidence. Protect save color establish. Than hour break expert church.,668,Nicholas Foster,Waiter,nancy73@example.net,4,East Justin,3,58
4130,James Wright,particularly,Senior,fergusondanielle@example.net,23130,12/18/2022 12:27,22,3,10.22,Cash,act,Beverage,2.43,5464,33,7,1.08,Christensen Ltd,371,2,"Manage door recently board state world environment. Instead allow center up partner choose. Last hotel others change.
Cold guess include support. Fly including throughout compare relate stop support.",412,Kristen Reyes,Cashier,mbarajas@example.org,3,Wagnerland,1,182
4632,Louis Valdez,agreement,Freshman,carlylamb@example.org,72338,9/26/2020 3:24,81,1,14.43,Card,news,Dessert,7.57,2937,88,2,3.94,"Wright, Greer and Graves",306,4,"Mission turn song area culture modern conference. The race hundred sense loss.
Us walk manage lot. Image participant student important deal affect state. Democratic rich throughout go thousand nice.",340,Meghan Chavez,Waiter,lewisedgar@example.org,1,Brownville,3,196
4909,Deborah Simpson,main,Freshman,vtaylor@example.com,61995,3/11/2021 8:06,73,4,13.73,Card,laugh,Dessert,7.33,6880,46,7,3.29,Davis-Brown,919,1,Traditional here us guess central. Practice very cover sort see. Example sense decision defense growth hope board. Agree center avoid you.,487,Christopher Johnson,Waiter,jonathanvillegas@example.net,4,New Mario,3,178
3334,Tammy Taylor,peace,Senior,nicholaswilliams@example.net,92265,2/20/2020 9:02,49,3,2.52,Cash,read,Main Course,7.19,4761,13,6,1.97,"Green, Logan and Johnston",367,3,"Democratic fact generation nation decision. Many stage note second station argue.
Suffer gun democratic. Until off although.",454,Danielle Rush,Cashier,normansmith@example.org,2,Johnsonfurt,1,146
9896,Paul Grant,summer,Sophomore,grahammichael@example.org,20662,4/30/2022 8:14,82,2,5.32,Card,field,Main Course,6.38,9956,12,8,1.74,Arnold-Martinez,435,1,,499,Jonathan Delacruz,Cashier,matthew61@example.net,3,Danielsberg,2,189
8339,Daniel Riddle,chair,Junior,dhines@example.com,12863,7/3/2023 21:44,12,2,2.35,Card,skill,Main Course,7.88,5623,49,1,4.03,Turner LLC,817,1,Community performance gas happen figure again. Marriage these follow word. Old yard likely item government.,582,Garrett Martinez,Cashier,nicole53@example.org,2,Nicoleshire,1,166
2494,Sheri Robbins,give,Junior,lucerobradley@example.org,46007,12/31/2020 4:46,9,4,8.76,Card,strong,Dessert,5.44,4630,89,1,2.68,Patel Group,825,1,"Activity letter interview. Choose gas wind rich suffer.
Big service next magazine. As campaign not drive natural. Involve early yeah drop American. Edge wish start environmental picture clear.",623,Jared Rodriguez,Chef,garciaedward@example.net,2,South Morgantown,3,74
2318,Mary Collins,bank,Senior,pamelaruiz@example.org,69372,4/3/2021 18:17,11,3,9.4,Cash,hold,Main Course,5.64,4934,59,5,3.29,Brown Ltd,359,3,"Step support include church fast human word oil.
Mean size consider. Determine feeling learn pick. However up often six cup while.",413,Gregory Young,Chef,christopherwebster@example.com,3,Lake Jasminemouth,3,173
6243,Destiny Compton,modern,Sophomore,kwu@example.net,25175,5/7/2020 11:49,26,5,13.39,Card,theory,Beverage,4.04,2061,22,1,1.95,Lee-Dudley,901,1,,519,Dominique Jackson,Waiter,steeleadam@example.net,4,North Bradley,2,132
9322,Derek Hayes,everybody,Sophomore,johnatkins@example.net,43618,2/24/2023 20:19,96,4,4.99,Card,school,Beverage,5.81,9489,32,5,3.86,Stone and Sons,365,2,"Country four oil mission. Agree American minute set office nation management. Fact sister another simply dark Republican.
Lot everybody employee act. Degree describe draw certainly.",516,Kerri Jackson,Cashier,yroberson@example.org,2,South Sabrina,1,28
9016,David Combs,purpose,Freshman,djackson@example.net,27487,12/18/2021 8:52,29,5,12.09,Card,morning,Dessert,4.7,6038,62,10,4.46,"Steele, Gallagher and Clayton",629,4,Itself identify bad air might off develop. Heavy work account factor ask security.,932,Tyler Thompson,Chef,christina99@example.net,1,Odonnelltown,2,82
2786,Brittney Lowe,total,Sophomore,matthewhernandez@example.com,95664,6/9/2023 16:52,8,5,13.5,Cash,throw,Beverage,2.34,6362,60,5,4.58,"Schneider, Moore and Long",567,5,Structure position poor senior write life decide. Medical but north all relationship much. Who author light half race pass.,200,Ronald Hatfield,Cashier,fhoward@example.org,4,Hawkinsborough,3,144
5938,John Martinez,case,Sophomore,justinmiller@example.org,78270,12/31/2022 14:10,50,1,10.16,Cash,hundred,Main Course,2.42,4827,23,4,4.24,Carney-Howard,258,1,,799,Shannon Brown,Waiter,nkennedy@example.org,4,Amystad,3,174
5769,Brian Garcia,style,Junior,millerkathryn@example.com,95299,4/20/2021 17:21,2,5,8.53,Cash,million,Dessert,4.8,7114,50,9,1.4,"Taylor, Oliver and Miles",874,3,"Leg parent recent my upon third set. Hot community up good finish or young. Dream fund power end.
Congress since himself. Light record act practice car light three. Middle have either.",257,Charles Turner,Chef,paul77@example.com,4,Portermouth,1,101
3044,Paul Garrett,wind,Junior,youngwhitney@example.org,94533,1/23/2023 11:03,13,1,8.81,Card,consumer,Dessert,4.32,8868,44,9,1.75,Wade Ltd,559,4,,251,Michelle Woods,Cashier,timothycook@example.org,5,East Jeffreyville,3,162
9969,Julie Morris,season,Freshman,stephen10@example.org,55488,12/23/2022 14:09,51,5,8.59,Cash,explain,Beverage,2.06,5699,27,6,2.76,White Inc,665,5,Plan participant stuff serious reality. Boy significant peace else heavy. Read point vote firm.,105,Mr. David Lynch,Chef,sarahbooker@example.com,4,Lake Kurtside,1,70
6451,Cindy Day,people,Senior,stephanie94@example.com,25087,11/30/2021 0:18,72,5,14.29,Cash,such,Beverage,2.51,3807,88,7,1.26,Smith-Fox,256,4,,697,Brian English DDS,Chef,qhamilton@example.org,5,Chapmanmouth,3,20
9852,Brad Garrison,child,Sophomore,carpenteraaron@example.org,30242,8/23/2021 5:57,67,1,3.89,Card,return,Dessert,5.42,3249,47,5,2.71,Hancock-Jones,139,4,Democratic focus produce agreement listen plant maybe. Democratic stage too career. Trade hand training.,709,Julia Cunningham,Cashier,nlyons@example.net,5,Port Danielle,2,31
4329,Cathy Bennett,serve,Freshman,kathryn32@example.com,46491,3/8/2020 2:25,38,4,13.59,Card,teach,Beverage,3.78,1253,98,4,2.58,"Ross, Rodriguez and Miller",747,1,"Always pass city town lay. Past our black structure blood season follow. Weight whether most.
Analysis company short right make without though.",749,Deanna Hernandez,Cashier,eric47@example.com,2,Garciahaven,1,35
9965,Mark Ruiz,across,Senior,mschroeder@example.com,12434,6/8/2021 17:00,58,2,7.49,Cash,catch,Dessert,6.87,9271,100,2,2.09,Stevens-Tanner,699,1,"Pattern some account on likely director. Activity rate fast enough.
Management fall our certain generation ago. Ask statement could life manager hear within. Begin keep when break call space.",821,Autumn Parker,Waiter,denise97@example.org,4,Bridgetland,3,54
5712,Jessica Patterson,space,Senior,laurie91@example.net,15544,4/22/2021 12:17,63,3,3.09,Card,body,Beverage,6.46,6372,57,10,2.75,Stephenson-Evans,281,5,Impact early quickly available week. Share note paper edge campaign thousand. Any teacher century from game popular.,629,Jessica Beck PhD,Cashier,robert75@example.net,5,West Alexisport,2,82
8290,Elaine Martinez,per,Junior,hcole@example.com,15329,12/15/2021 8:34,75,5,3.36,Card,summer,Main Course,3.77,7012,53,6,4.03,Cardenas-Cole,756,4,"Industry center test can thousand strong. Bit drop able once minute will within view.
He speak month poor. Officer behind firm yes always choose story ability.
Yes consumer play sign first pull.",209,Cheryl Bell,Waiter,jeffreyedwards@example.com,3,Josephstad,2,133
2501,Jill Mitchell,away,Junior,brittanymyers@example.com,36966,12/14/2020 12:04,92,5,2.82,Cash,people,Beverage,3.54,1414,6,4,2.42,Jackson-Cohen,624,3,While reveal safe right. Sort southern claim any. Discover others part require population.,813,Joshua Hall,Chef,mckenziecarrie@example.com,4,Conwayburgh,1,192
7306,Angela Finley,under,Senior,james45@example.com,99259,9/7/2021 1:36,87,4,7.4,Cash,pattern,Beverage,6.87,3127,57,10,2.31,Raymond-Allen,134,1,,897,Kevin Gray,Cashier,andrewrobbins@example.com,2,Ramosside,2,176
6194,Peter Mckenzie,big,Junior,ashley97@example.org,44035,11/4/2020 11:30,28,4,4.03,Card,cut,Dessert,6.85,7481,38,9,2.23,Buckley and Sons,875,5,Certainly speak we single look. West they will he according per. Huge night green.,762,Marie Arellano,Cashier,james38@example.net,3,Stevenville,3,77
4966,Kelsey Lawrence,arrive,Sophomore,james27@example.net,83184,12/30/2020 3:05,55,4,14.41,Card,much,Dessert,2.68,3543,73,6,2.97,Smith-Peterson,423,1,"Focus as each main scientist certain five. Key catch teach.
Third thought with outside see sign. Out any century building important the. Bed represent couple difference who page time.",814,Douglas Lee,Chef,stacey95@example.org,5,New Michael,2,189
5756,John Hogan,list,Freshman,icampbell@example.org,51250,2/29/2020 17:58,11,5,12.29,Cash,again,Beverage,4.55,3896,73,3,4.05,Howell Group,937,1,"Executive effect impact. Allow maintain white somebody ability body consider.
Team able someone. Two pressure friend compare girl price room.",309,Christopher Cooper,Chef,icamacho@example.org,1,Lake Karenhaven,1,195
4012,Danielle Cox,cut,Senior,james12@example.org,58089,9/6/2020 20:35,48,5,7.6,Card,case,Beverage,6.29,9363,99,3,1.81,"Little, Mills and Walker",173,3,Man particularly lose author spend. Sing that mouth list her will modern. Into remember people pick reveal toward. Contain very safe kitchen cause send fear.,710,Donna Mack,Cashier,iluna@example.org,1,Gonzalesside,2,47
4102,Kenneth Garcia,performance,Freshman,burnettedward@example.net,84379,1/9/2021 1:20,29,2,7.42,Card,if,Dessert,9.15,2252,92,6,2.59,"Burch, Mason and Cook",297,3,"Environment low several step structure. Reach hair hot science phone would. Black decade various agency mention hard.
Continue sell huge play line. Teach require agent more ready.",759,Donna King,Chef,rsanchez@example.net,4,Hollandland,2,152
4059,Andrew Simmons,tree,Junior,johnsonlisa@example.com,15505,1/25/2020 9:56,34,1,8.46,Cash,near,Main Course,4.04,3221,95,1,2.74,Lewis PLC,763,1,Hard fire relationship stay. General situation ability accept scientist never third.,717,Nicholas Rodriguez,Cashier,mhawkins@example.org,3,North Elaine,2,128
1540,Edward Lucas,character,Freshman,david88@example.com,89638,5/24/2023 17:02,75,1,13.23,Card,tough,Beverage,6.18,4383,64,10,3.54,Rice LLC,910,4,"Avoid quickly executive activity training trade whatever stage.
Foot official over culture. Ground wear artist table every TV news better.",625,Cynthia Ward,Chef,hernandezheather@example.org,4,South Brianmouth,1,185
5260,Stephanie Garcia,lose,Junior,kennethvargas@example.org,95899,9/28/2021 11:37,100,2,6.22,Cash,here,Beverage,3.52,9138,10,1,3.69,Rowland Ltd,567,1,"World strategy bar professor voice. Owner race receive finish. Though they six follow standard.
Eye born technology kitchen. Right moment partner trial go through fight country.",213,Charles Anderson,Chef,yvetteharris@example.net,2,Evansport,3,182
8807,Keith Luna,seven,Sophomore,donnewton@example.net,74813,8/14/2022 12:06,22,3,5.28,Card,some,Main Course,2.64,4497,77,10,3.79,Hickman-Joyce,725,2,"Relationship group type. Second wrong economic camera check strong.
Trial memory radio else outside stay manager. Partner society off own help skin. Eight feeling pick modern model better sing least.",373,Brian Lozano,Waiter,tracy44@example.net,4,West Teresa,3,93
2131,Courtney Orozco,any,Sophomore,bschneider@example.net,94429,6/29/2021 20:39,56,5,6.58,Cash,six,Dessert,8.96,4855,20,3,4.29,Campbell-Morales,344,5,Yourself allow hard by large yes test. Would century effort international air health.,805,Lisa Mcconnell,Chef,lisa23@example.net,1,Bentonhaven,2,194
2471,Laura Wade,toward,Senior,anne19@example.org,70118,6/18/2022 22:22,25,5,3.58,Card,probably,Beverage,4.77,3164,57,6,3.33,Saunders-Simpson,931,3,"Business citizen have style. Store plant special wish there.
Risk traditional along outside. Officer expert push perhaps cup.
Season in and along. Million event author usually.",849,Amanda Glover,Waiter,nunezkeith@example.com,5,South Paul,1,106
3133,Elijah Huynh,soldier,Junior,pvelasquez@example.org,93904,3/15/2020 19:14,46,3,10.99,Card,allow,Main Course,8.7,4828,54,6,2.42,Gaines Ltd,569,1,"Police ball cut especially seek high continue. Speech forget remember most rest reality standard cover.
Hand his network run ability agent.",729,Bridget York,Chef,stephen36@example.com,1,Port Ashley,2,146
3450,Christine Barker,look,Junior,anthonysmith@example.org,67074,4/10/2022 0:32,15,3,6.49,Cash,but,Dessert,4.01,7301,26,5,3.28,White Inc,634,1,,272,Grace Romero,Waiter,amymorgan@example.net,4,Richardston,1,195
